index_date,fertilizer_sales_forecast
2021-09-01,5231773.705366711
2021-10-01,5132529.314917079
2021-11-01,4780875.6991155045
2021-12-01,4202805.123407388
2022-01-01,3856361.891151859
2022-02-01,3535899.8586972314
2022-03-01,3572781.321670155
2022-04-01,3755687.5070150862
2022-05-01,4285159.78761023
2022-06-01,4783620.818557359
